术语名,定义1来源标准,定义2来源标准,冲突类型,冲突描述
GNSS,行政、商业和运输业电子数据交换 第3部分：段目录,爆炸危险化学品汽车运输安全监控系统 第5部分：车载装置与通信中心间数据接口,范围冲突,定义2通过“包括GPS等定位系统”明确了系统外延，而定义1未作此限定，导致对“GNSS”所指系统集合的边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第3部分：段目录,运输与仓储业务数据交换应用规范,范围冲突,定义2通过列举（如BDS）和功能描述（用于定位和导航）扩展了术语的外延，而定义1仅为核心名称，两者对术语指称对象的边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第3部分：段目录,建筑及居住区数字化技术应用 基础数据元,范围冲突,定义1仅给出术语名称的完整形式，定义2在给出完整形式后通过列举具体系统（GPS等）限定了其外延范围，导致对“GNSS”指称对象的边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第3部分：段目录,车载导航电子地图数据质量规范,范围冲突,定义1为通用全称，定义2限定了其在特定文档中的依赖关系，导致指称对象的适用范围不同。
GNSS,行政、商业和运输业电子数据交换 第3部分：段目录,证券期货业与银行间业务数据交换协议 第1部分：三方存管、银期转账和结售汇业务,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,北斗地基增强系统数据处理中心技术要求,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如BDS、GPS）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅给出术语名称的完整形式，定义2则通过列举具体系统（GPS等）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,实时交通信息服务数据结构,命名冲突,两个定义分别使用“全球导航卫星系统”和“全球定位系统”这两个不同术语来指称同一概念，导致术语-概念映射不一致。
GNSS,地理信息应急数据规范,电网设备模型参数和运行方式数据技术要求,范围冲突,定义1仅给出术语名称，定义2则通过列举具体系统（GPS、GLONASS等）限定了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,道路交通信息服务 浮动车历史数据交换存储格式,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举方式限定了其外延范围，导致对‘GNSS’这一概念边界的划定存在差异。
GNSS,地理信息应急数据规范,信息技术 实时定位 多源融合定位数据接口,范围冲突,定义1仅给出术语名称，定义2通过列举具体系统（如GPS、BDS）限定了其外延，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,GNSS接收机数据自主交换格式,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（GPS、BDS等）明确了其外延范围，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,地理信息应急数据规范,数据论文出版元数据,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过举例（包括GPS、GLONASS等）限定了其外延范围，导致对‘GNSS’这一概念边界的划定存在差异。
GNSS,地理信息应急数据规范,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,地理信息应急数据规范,航天术语 空间数据与信息传输,范围冲突,定义1仅给出术语名称，定义2在给出名称的同时通过举例明确了其外延，导致对‘GNSS’这一概念边界的划定存在差异。
GNSS,地理信息应急数据规范,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法进行有效的内涵要素拆解与对比，违反了术语定义的基本写作规范。
GNSS,北斗地基增强系统数据处理中心技术要求,信息技术 传感器网络 第702部分：传感器接口：数据接口,引用冲突,两个定义均指向同一属概念，但定义2明确引用另一标准进行定义，导致其具体内涵取决于被引用的外部标准，与定义1的枚举式内涵可能不一致。
GNSS,北斗地基增强系统数据处理中心技术要求,公路地理信息数据采集与质量控制,引用冲突,定义2引用了外部标准GB/T 19391进行定义，而定义1直接给出了具体构成，两者依据的权威来源不同且可能导致规定内容不一致。
GNSS,北斗地基增强系统数据处理中心技术要求,时序卫星影像数据质量检查与评价,范围冲突,定义1通过列举具体系统（BDS、GPS等）明确了GNSS的外延范围，而定义2仅模糊地指称‘标准业务实体’，两者对术语指称对象的边界划定不同。
GNSS,北斗地基增强系统数据处理中心技术要求,质量技术基础 信息资源数据规范,范围冲突,两个定义对“GNSS”所包含的系统外延划定不同，定义1明确列举了多个系统，定义2仅以“等系统”模糊概括，导致在具体系统（如GPS）是否必然属于GNSS的判定上可能产生归属争议。
GNSS,北斗地基增强系统数据处理中心技术要求,信息技术 大数据 技术参考模型,引用冲突,定义2引用了外部标准GB/T 19391进行定义，而定义1未引用且直接给出了具体系统构成，两者依据的权威来源不同且可能导致规定差异。
GNSS,北斗地基增强系统数据处理中心技术要求,海洋数据应用记录格式,范围冲突,定义1通过列举具体系统（BDS、GPS等）明确了外延，定义2仅模糊指称‘文档中提及的定位系统’，两者对GNSS所指系统的边界划定不同。
GNSS,北斗地基增强系统数据处理中心技术要求,爆炸危险化学品汽车运输安全监控系统 第6部分：通信中心与监控客户端间数据接口,范围冲突,两个定义对“GNSS”指称对象的外延划定不同，定义1列举了BDS、GPS、GALILEO、GLONASS等，定义2仅列举了GPS、BDS等，导致部分系统（如GALILEO、GLONASS）在定义1下明确属于，在定义2下可能被排除。
GNSS,北斗地基增强系统数据处理中心技术要求,机械 科学数据 第2部分：数据元目录,引用冲突,两个定义属概念相同，但定义2引用了特定标准（GB/T 19391）进行定义，而定义1未引用且直接列举了系统构成，依据不同引用来源可能导致对术语内涵或外延的规定存在差异。
GNSS,北斗地基增强系统数据处理中心技术要求,实时交通信息服务数据结构,层级冲突,定义1的属概念是“全球导航卫星系统”，定义2的属概念是“全球定位系统”，两者属于不同的上位概念层级。
GNSS,北斗地基增强系统数据处理中心技术要求,快速公交（BRT）智能系统 第5部分：调度中心与车载信息终端通信数据接口规范,引用冲突,定义2引用了外部标准GB/T 19391进行定义，而定义1未引用且给出了具体系统枚举，两者依据的权威来源不同且可能导致规定差异。
GNSS,北斗地基增强系统数据处理中心技术要求,法人和其他组织统一社会信用代码数据服务平台建设规范,引用冲突,定义2引用了外部标准GB/T 19391，而定义1未引用，两者依据的权威来源不同，可能导致规定矛盾。
GNSS,北斗地基增强系统数据处理中心技术要求,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,两个定义引用了不同的权威来源（前者列举系统，后者引用GB/T 13923），且依据不同引用可能导致对具体构成或范围的规定存在潜在矛盾。
GNSS,北斗地基增强系统数据处理中心技术要求,信息技术服务 外包 第2部分：数据保护要求,引用冲突,两个定义引用了不同的权威来源（直接列举与引用GB/T 19391），且引用内容可能导致规定矛盾。
GNSS,北斗地基增强系统数据处理中心技术要求,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,北斗地基增强系统数据处理中心技术要求,爆炸危险化学品汽车运输安全监控系统 第5部分：车载装置与通信中心间数据接口,范围冲突,两个定义对“GNSS”所包含系统的外延划定不同，定义1列举了BDS、GPS、GALILEO、GLONASS等多个系统，而定义2仅提及GPS等，导致部分系统（如BDS）在定义1下明确属于，在定义2下归属不明确或可能被排除。
GNSS,北斗地基增强系统数据处理中心技术要求,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,北斗地基增强系统数据处理中心技术要求,车载导航电子地图数据质量规范,范围冲突,两个定义属概念相同，但定义1明确列举了包含的具体系统（BDS、GPS等），而定义2通过“文档中提及的”进行限定，导致其外延边界不确定且可能小于定义1。
GNSS,关系数据管理系统技术要求,质量技术基础 信息资源数据规范,范围冲突,定义2通过列举（如BDS）扩展了定义1的外延，导致对‘GNSS’系统边界的划定不同。
GNSS,关系数据管理系统技术要求,道路、水路货物运输地理信息基础数据元,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（GPS等）限定了其外延范围，导致对‘GNSS’指称对象的边界划定不同。
GNSS,关系数据管理系统技术要求,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅给出术语全称，定义2在全称基础上通过列举明确了其外延范围，导致对‘GNSS’是否特指特定系统集合的理解存在边界差异。
GNSS,关系数据管理系统技术要求,实时交通信息服务数据结构,命名冲突,两个定义分别将术语“GNSS”映射到“全球导航卫星系统”和“全球定位系统”这两个不同的概念，导致术语-概念关系不一致。
GNSS,关系数据管理系统技术要求,电网设备模型参数和运行方式数据技术要求,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举明确了其外延范围，导致对‘GNSS’这一概念边界的划定存在差异。
GNSS,关系数据管理系统技术要求,信息技术 实时定位 多源融合定位数据接口,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’所指对象集合的边界划定不同。
GNSS,关系数据管理系统技术要求,GNSS接收机数据自主交换格式,范围冲突,定义1仅给出术语全称，定义2通过列举具体系统（GPS、BDS等）限定了其外延范围，导致对‘GNSS’所指对象集合的边界划定不同。
GNSS,关系数据管理系统技术要求,建筑及居住区数字化技术应用 基础数据元,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’这一概念边界的理解存在差异。
GNSS,关系数据管理系统技术要求,车载导航电子地图数据质量规范,范围冲突,定义1为术语的通用全称，定义2在通用全称基础上限定了其在特定文档中的具体应用范围（导航电子地图数据依赖的定位系统），导致两个定义的外延边界不同。
GNSS,关系数据管理系统技术要求,智能电网用户端系统数据接口一般要求,格式冲突,定义2未提供有效定义文本，无法进行内涵要素拆解与对比，违反术语定义写作规范。
GNSS,关系数据管理系统技术要求,证券期货业与银行间业务数据交换协议 第1部分：三方存管、银期转账和结售汇业务,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举方式限定了其外延范围，导致对‘GNSS’这一概念边界的理解存在差异。
GNSS,电子商务数据资产评价指标体系,信息技术 传感器网络 第702部分：传感器接口：数据接口,引用冲突,两个定义均指向同一概念，但定义2明确引用特定标准进行定义，而定义1为直接列举式说明，依据不同引用来源可能导致具体规定或范围解释上的潜在差异。
GNSS,电子商务数据资产评价指标体系,公路地理信息数据采集与质量控制,引用冲突,两个定义引用了不同的定义来源（一个列举实例，一个引用国家标准GB/T 19391），且依据的引用可能导致规定不同。
GNSS,电子商务数据资产评价指标体系,时序卫星影像数据质量检查与评价,范围冲突,定义1通过列举具体系统（如GPS、BDS）明确了术语的外延范围，而定义2仅将其限定为“文档中提及的标准业务实体”，两者对术语指称对象的边界划定不同。
GNSS,电子商务数据资产评价指标体系,信息技术 大数据 技术参考模型,引用冲突,两个定义引用了不同的定义来源（一个列举实例，一个引用GB/T 19391），且依据引用可能导致规定或范围不同。
GNSS,电子商务数据资产评价指标体系,机械 科学数据 第2部分：数据元目录,引用冲突,两个定义引用了不同的定义来源（一个列举实例，一个引用国家标准GB/T 19391），且依据的引用可能导致规定不同。
GNSS,电子商务数据资产评价指标体系,实时交通信息服务数据结构,范围冲突,定义1明确列举了GPS、GLONASS等具体系统作为示例，定义2仅指代单一系统“全球定位系统”，两者对术语“GNSS”所指称的对象范围（是泛指所有系统还是特指GPS）划定不同。
GNSS,电子商务数据资产评价指标体系,快速公交（BRT）智能系统 第5部分：调度中心与车载信息终端通信数据接口规范,引用冲突,定义2引用了权威标准GB/T 19391进行定义，而定义1未引用该标准，两者依据的权威来源不同且可能导致规定差异。
GNSS,电子商务数据资产评价指标体系,法人和其他组织统一社会信用代码数据服务平台建设规范,引用冲突,定义2明确引用GB/T 19391进行定义，而定义1未引用该标准，两者依据的权威来源不同，可能导致规定矛盾。
GNSS,电子商务数据资产评价指标体系,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,两个定义分别引用了不同的来源（列举具体系统 vs 引用GB/T 13923标准），且未表明其内涵一致，导致依据的权威规定可能不同。
GNSS,电子商务数据资产评价指标体系,信息技术服务 外包 第2部分：数据保护要求,引用冲突,两个定义的核心属概念和指称对象一致，但定义2明确引用GB/T 19391进行定义，而定义1未引用且自行列举，依据不同权威来源导致定义方式存在潜在矛盾。
GNSS,电子商务数据资产评价指标体系,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,电子商务数据资产评价指标体系,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法进行有效的内涵要素拆解与对比，违反了术语定义的基本规范。
GNSS,电子商务数据资产评价指标体系,车载导航电子地图数据质量规范,范围冲突,定义1通过列举（如GPS等）明确了GNSS的外延，而定义2通过限定（文档中提及的...依赖的定位系统）划定了不同的、更具体的指称范围，导致两者对术语指称对象的边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,信息技术 传感器网络 第702部分：传感器接口：数据接口,引用冲突,定义2直接引用另一标准进行定义，与定义1的独立内涵定义形成不同权威来源，且未提供内容进行对比，依据引用来源不同优先判定为引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,公路地理信息数据采集与质量控制,引用冲突,定义2明确引用GB/T 19391进行定义，与定义1的直接描述构成不同权威来源引用，且未验证两者内容是否一致，依据标准优先判断引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,车载导航地理数据采集处理技术规程,格式冲突,定义2仅重复术语名称，缺少属概念和种差，违反内涵定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,术语数据库开发文件编制指南,格式冲突,定义2仅重复术语名称，未提供内涵定义，缺少属概念和种差，违反术语定义的写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,GPS接收机导航定位数据输出格式,格式冲突,定义2缺少属概念和种差，不符合内涵定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,时序卫星影像数据质量检查与评价,格式冲突,定义2缺少属概念和明确的种差，不符合内涵定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,质量技术基础 信息资源数据规范,范围冲突,两个定义对GNSS所包含的具体系统外延划定不同，定义1列举了GPS、GLONASS、Galileo、BDS等，定义2仅列举了BDS，导致部分系统（如GPS）在定义1下明确属于，在定义2下归属不明确或可能被排除。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,基于XML的电子商务业务数据和过程 第2部分：业务信息实体目录,格式冲突,定义2缺少属概念和明确的种差，不符合内涵定义的基本写作规范，无法与定义1进行有效要素对比。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,数据通信设备通用机械结构 机柜和插箱,格式冲突,定义2未提供内涵定义，仅作为业务实体提及，无法按标准方法进行要素拆解与对比，违反了术语定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,信息技术 大数据 技术参考模型,引用冲突,定义2明确引用GB/T 19391进行定义，与定义1的直接描述构成不同权威来源引用，且未确认两者内容是否一致，依据标准优先判断引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,海洋数据应用记录格式,范围冲突,定义1明确列举了系统构成并描述了功能，定义2仅模糊指称“文档中提及的定位系统”，两者对术语指称对象的外延边界划定存在明显差异。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,爆炸危险化学品汽车运输安全监控系统 第6部分：通信中心与监控客户端间数据接口,范围冲突,两个定义对GNSS系统外延的列举范围不同，定义1列举了GPS、GLONASS、Galileo、BDS等，定义2仅列举了GPS、BDS，导致部分系统（如GLONASS、Galileo）在定义1下明确属于，在定义2下归属不明确，存在边界划定差异。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,机械 科学数据 第2部分：数据元目录,引用冲突,定义2直接引用GB/T 19391进行定义，与定义1的独立描述构成不同权威来源引用，且未验证两者内容是否一致，依据标准优先判断引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,社区能源计量抄收系统规范 第1部分：数据交换,范围冲突,两个定义对“GNSS”所包含系统的外延划定不同，定义1列举了GPS、GLONASS、Galileo、BDS等，定义2仅列举了BDS等，导致部分系统（如GPS）在定义1下明确属于，在定义2下归属不明确或可能被排除。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,道路交通信息服务 数据服务质量规范,格式冲突,定义2未提供有效内涵定义，缺少属概念和种差，不符合术语定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,自动化系统与集成 离散制造企业数据空间集成模型,格式冲突,定义2缺少属概念和种差，不符合内涵定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,实时交通信息服务数据结构,范围冲突,定义1明确GNSS是包含GPS、GLONASS等多个系统的总称，而定义2仅指代GPS，两者对术语指称对象的外延划定不同。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,快速公交（BRT）智能系统 第5部分：调度中心与车载信息终端通信数据接口规范,引用冲突,定义2直接引用另一标准（GB/T 19391）进行定义，与定义1的独立描述构成不同权威来源，且未确认两者内容是否一致，依据标准优先判断引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,科技计划形成的科学数据汇交 通用数据元,范围冲突,定义1明确描述了GNSS的内涵（属概念和种差），定义2仅将其作为领域示例而未给出实质定义，导致两者对术语指称对象的边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,健康管理 终端设备数据采集与传输协议,格式冲突,定义2缺少属概念和种差，不符合内涵定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,法人和其他组织统一社会信用代码数据服务平台建设规范,引用冲突,定义2直接引用GB/T 19391进行定义，与定义1的直接内涵定义形成不同权威来源的引用，且未确认两者内容是否一致，构成引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,道路交通信息服务 通过调频数据广播发布的道路交通信息,格式冲突,定义2缺少属概念和种差，不符合内涵定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,交互式电子技术手册 第3部分：公共源数据库要求,格式冲突,定义2仅重复术语名称，缺少属概念和种差，违反内涵定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,输变电工程数据移交规范,范围冲突,两个定义对“GNSS”所包含的系统外延划定不同，定义1明确列举了GPS、GLONASS、Galileo、BDS等，而定义2仅提及BDS，导致部分系统（如GPS）在定义1下属于、在定义2下可能不属于。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,定义2明确引用GB/T 13923进行定义，而定义1为直接内涵定义，两者依据的权威来源不同，可能导致规定矛盾。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,北斗地基增强系统实时定位分级服务内容及数据格式,格式冲突,定义2仅重复术语名称，未提供内涵定义，缺少属概念和种差，违反术语定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,信息技术服务 外包 第2部分：数据保护要求,引用冲突,定义2直接引用另一标准GB/T 19391进行定义，与定义1的直接内涵定义构成不同权威来源的引用，且未验证两者内容是否一致，依据标准判断逻辑优先归为引用冲突。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行对比，违反了术语定义的写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法进行有效的内涵要素拆解与对比，违反了术语定义的基本写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,车载导航电子地图数据质量规范,范围冲突,定义1明确列举了GNSS包含的具体系统并描述了其通用功能，而定义2将其限定为特定文档中导航电子地图数据所依赖的定位系统，导致对GNSS指称对象的外延/边界划定不同。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,公交导航数据模型与交换格式,格式冲突,定义2仅重复术语名称，缺少属概念和种差，违反内涵定义写作规范。
GNSS,行政、商业和运输业电子数据交换 第2部分：复合数据元目录,用户面定位业务平台与卫星导航定位基准站网数据接口技术要求及测试方法,格式冲突,定义2仅重复术语名称，未提供内涵定义，缺少属概念和种差，违反术语定义写作规范。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,公路地理信息数据采集与质量控制,引用冲突,两个定义引用了不同的权威标准（GB/T 30269.701—2014 与 GB/T 19391）作为定义依据，导致规定来源矛盾。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,遥感卫星全色数据产品分级,范围冲突,定义1通过引用标准间接定义，定义2通过列举具体系统进行定义，两者对GNSS外延（包含哪些具体系统）的划定方式不同，可能导致边界理解差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,科学数据溯源元数据,范围冲突,定义1通过引用标准间接定义，其外延可能限于特定标准范围；定义2明确列举了包含的具体系统，两者对GNSS系统边界的划定存在差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,信息技术 大数据 技术参考模型,引用冲突,两个定义引用了不同的国家标准（GB/T 30269.701—2014 与 GB/T 19391）作为定义依据，导致其规定内容可能存在矛盾。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,机械 科学数据 第2部分：数据元目录,引用冲突,两个定义引用了不同的权威标准（GB/T 30269.701—2014 与 GB/T 19391）作为其定义依据，导致规定来源不同。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1通过引用标准间接定义，定义2通过列举主要系统实例进行定义，两者对GNSS系统外延的划定方式不同，可能导致对某些系统（如区域系统或未来新系统）的归属判断产生差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,实时交通信息服务数据结构,命名冲突,定义1将术语“GNSS”定义为“全球导航卫星系统”，而定义2将其定义为“全球定位系统”，两者是不同概念，属于同一术语映射到不同概念的不一致。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,电网设备模型参数和运行方式数据技术要求,范围冲突,定义1通过引用标准间接定义，其外延由被引标准限定；定义2通过列举主要系统（GPS等）来划定外延，两者对GNSS系统边界的划定方式不同，可能导致某些卫星导航系统在定义下的归属存在差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,快速公交（BRT）智能系统 第5部分：调度中心与车载信息终端通信数据接口规范,引用冲突,两个定义引用了不同的国家标准（GB/T 30269.701—2014 与 GB/T 19391），且依据不同引用可能导致对术语的具体规定或范围存在矛盾。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,法人和其他组织统一社会信用代码数据服务平台建设规范,引用冲突,两个定义引用了不同的国家标准（GB/T 30269.701—2014 与 GB/T 19391）作为定义依据，导致规定来源矛盾。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,电力系统实时动态监测系统 第2部分：数据传输协议,范围冲突,定义1通过引用标准间接定义，定义2通过列举具体系统进行定义，两者对GNSS外延边界的划定方式不同，可能导致对某些系统是否属于GNSS的归属判断产生差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,信息技术 实时定位 多源融合定位数据接口,范围冲突,定义1通过引用标准间接定义，定义2通过列举具体系统进行定义，两者对GNSS系统外延的划定方式不同，可能导致对某些系统（如区域系统）的归属判断存在差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,GNSS接收机数据自主交换格式,范围冲突,定义1通过引用标准间接定义，定义2通过列举具体系统进行定义，两者对GNSS系统外延的划定方式不同，可能导致对某些卫星导航系统（如区域系统或未来新系统）的归属判断产生差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,基础地理信息要素数据字典 第2部分：1∶5 000 1∶10 000 比例尺,引用冲突,两个定义引用了不同的权威标准（GB/T 30269.701—2014 与 GB/T 13923），且这些引用可能导致对术语的具体规定或应用范围存在差异。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,信息技术服务 外包 第2部分：数据保护要求,引用冲突,两个定义引用不同的国家标准（GB/T 30269.701—2014 与 GB/T 19391）作为定义依据，且未表明这些标准对术语的定义一致。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义应明确的基本规范。
GNSS,信息技术 传感器网络 第702部分：传感器接口：数据接口,建筑及居住区数字化技术应用 基础数据元,范围冲突,定义1通过引用标准间接定义，定义2通过列举具体系统进行定义，两者对‘GNSS’这一概念的外延（是否明确包含具体系统）划定不同。
GNSS,月球与行星探测数据质量检验要求,道路、水路货物运输地理信息基础数据元,范围冲突,定义2通过列举具体系统（如GPS、BDS）限定了GNSS的外延范围，而定义1未作此限定，导致对‘GNSS’这一概念边界的划定不同。
GNSS,月球与行星探测数据质量检验要求,道路交通运输 地理信息系统 数据字典要求,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如GPS、BDS）限定了其外延范围，导致对‘GNSS’这一概念边界的划定不同。
GNSS,月球与行星探测数据质量检验要求,实时交通信息服务数据结构,命名冲突,两个定义分别将术语“GNSS”映射到“全球导航卫星系统”和“全球定位系统”这两个不同的术语，导致术语-概念关系不一致。
GNSS,月球与行星探测数据质量检验要求,电网设备模型参数和运行方式数据技术要求,范围冲突,定义1仅给出术语名称的完整形式，定义2则通过列举具体系统（GPS、GLONASS等）限定了其外延范围，导致对“GNSS”所指称对象集合的边界划定不同。
GNSS,月球与行星探测数据质量检验要求,道路交通信息服务 浮动车历史数据交换存储格式,范围冲突,定义1仅给出术语全称，定义2通过举例（GPS、北斗等）限定了其外延范围，导致对‘GNSS’指称对象边界的理解存在差异。
GNSS,月球与行星探测数据质量检验要求,GNSS接收机数据自主交换格式,范围冲突,定义2通过列举具体系统（如GPS、BDS）明确了GNSS的外延范围，而定义1未明确此范围，导致对‘GNSS’指称对象的边界划定不同。
GNSS,月球与行星探测数据质量检验要求,信息技术服务 外包 第2部分：数据保护要求,引用冲突,定义2引用了外部标准GB/T 19391进行定义，而定义1未引用，两者依据的权威来源不同，可能导致规定矛盾。
GNSS,月球与行星探测数据质量检验要求,工业机器人云服务平台数据交换,格式冲突,定义2未提供具体定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,月球与行星探测数据质量检验要求,进口冷链食品追溯 追溯系统数据交换应用规范,格式冲突,定义2未提供明确定义，无法按内涵定义逻辑进行有效对比，违反了术语定义的基本写作规范。
GNSS,月球与行星探测数据质量检验要求,用户端能源管理系统 第3-2部分：子系统接口网关数据配置,范围冲突,定义1仅给出术语全称，定义2在给出全称后通过列举具体系统（如GPS、BDS）限定了其外延，导致对‘GNSS’所指系统集合的边界划定不同。
GNSS,月球与行星探测数据质量检验要求,智能电网用户端系统数据接口一般要求,格式冲突,定义2未提供有效定义，无法按内涵定义逻辑进行对比，违反了术语定义的基本写作规范。
GNSS,月球与行星探测数据质量检验要求,证券期货业与银行间业务数据交换协议 第1部分：三方存管、银期转账和结售汇业务,范围冲突,定义2通过列举具体系统（如GPS、BDS）明确了GNSS的外延范围，而定义1未明确此范围，导致两者对指称对象的边界划定不同。
GNSS,公路地理信息数据采集与质量控制,实时交通信息服务数据结构,命名冲突,定义1将“GNSS”定义为“全球导航卫星系统”，而定义2将其定义为“全球定位系统”，两者为不同术语指称同一概念，导致术语-概念映射不一致。
